Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,72,52,225,,0,0,,52,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,100,66,300,,0,0,,65,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,21,30,150,,0,0,,30,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,93,18,60,,0,0,,18,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,54,17,130,,0,0,,16,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,220,125,432,,0,1,,125,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,262,123,450,,0,1,,122,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,244,88,360,,0,0,,88,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,195,154,630,,0,1,,154,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,312,75,270,,0,1,,75,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,98,115,630,,0,1,,112,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,166,74,240,,2,1,,75,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,145,113,540,,0,0,,113,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,108,52,180,,0,0,,51,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,119,85,450,,0,0,,83,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,129,60,270,,12,0,,70,,CA,,20210827
