GTIN,ITEM,SKU,LAZYCODE,Prod Type,Ad Family
1.00714E+13,DOLE AMERICAN BLEND  12 OZ,43,D6AMER,CORE,BLEND
1.00714E+13,DOLE 6/10OZ CAESAR COMP #53,53,D6CAESR,KITS,DOLE KITS
1.00714E+13,DOLE LIGHT CAESAR SLD KIT  9.7 OZ,64,D6LFCSR,KITS,DOLE KITS
1.00714E+13,DOLE CHOPPED ROMAINE  32 OZ,78,D62ROM,CORE,CHOPPED ROMAINE
1.00714E+13,DOLE FAM ULT CSR 6/15OZ #156,156,DFAMUCR,KITS,
1.00714E+13,DOLE BABY SPINACH  6 OZ,320,D6CSPIN,TENDER,DOLE BLENDS
2.00714E+13,DOLE SPINACH  9 OZ,323,D12SPIN,TENDER,
1.00714E+13,DOLE ARUGULA 6-5OZ #340,340,D6ARUGL,,
1.00714E+13,RTE WAL GRAPE 4/11.5 393,393,DMSWGRP,0,
1.00714E+13,RTE MM RD PEP HUM 5.5OZ 410,410,DMMRHUM,BOWLS,
1.00714E+13,RTE MM QUINOA DIP 5.3OZ 411,411,DMMQUIN,BOWLS,
1.00714E+13,RTE MM CRN BLK BN 5.2OZ 412,412,DMMCORN,BOWLS,
1.00714E+13,RTE MM APL & CHS 6/5.3OZ 414,414,DMMAPLC,,
1.00714E+13,DOLE ANGEL HAIR COLESLAW  10 OZ,514,D610AHW,CORE,
1.00714E+13,DOLE VERY VEGGIE,532,D10VVEG,CORE,BLEND
1.00714E+13,DOLE ROMAINE FAMILY SIZE  15 OZ,534,DROMFAM,CORE,CHOPPED ROMAINE
